journeyId,module,name,level,status,evidenceRefs
W2-CLIENT-01,CLIENT,Create and retrieve a tenant-scoped client,J0,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#CLIENT | project/apps/api/src/modules/client/client.controller.ts | project/apps/api/src/modules/client/client.service.ts | project/apps/api/src/modules/client/client.module.ts
W2-CLIENT-01,CLIENT,Create and retrieve a tenant-scoped client,J1,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#CLIENT | project/apps/api/src/modules/client/client.controller.ts | project/apps/api/src/modules/client/client.service.ts | project/apps/api/src/modules/client/client.module.ts
W2-CLIENT-01,CLIENT,Create and retrieve a tenant-scoped client,J2,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#CLIENT | project/apps/api/src/modules/client/client.controller.ts | project/apps/api/src/modules/client/client.service.ts | project/apps/api/src/modules/client/client.module.ts
W2-CLIENT-01,CLIENT,Create and retrieve a tenant-scoped client,J3,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#CLIENT | project/apps/api/src/modules/client/client.controller.ts | project/apps/api/src/modules/client/client.service.ts | project/apps/api/src/modules/client/client.module.ts
W2-CLIENT-01,CLIENT,Create and retrieve a tenant-scoped client,J4,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#CLIENT | project/apps/api/src/modules/client/client.controller.ts | project/apps/api/src/modules/client/client.service.ts | project/apps/api/src/modules/client/client.module.ts
W2-CLIENT-01,CLIENT,Create and retrieve a tenant-scoped client,J5,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#CLIENT | project/apps/api/src/modules/client/client.controller.ts | project/apps/api/src/modules/client/client.service.ts | project/apps/api/src/modules/client/client.module.ts
W2-CLIENT-01,CLIENT,Create and retrieve a tenant-scoped client,J6,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#CLIENT | project/apps/api/src/modules/client/client.controller.ts | project/apps/api/src/modules/client/client.service.ts | project/apps/api/src/modules/client/client.module.ts
W2-CLIENT-01,CLIENT,Create and retrieve a tenant-scoped client,J7,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#CLIENT | project/apps/api/src/modules/client/client.controller.ts | project/apps/api/src/modules/client/client.service.ts | project/apps/api/src/modules/client/client.module.ts
W2-DEBTOR-01,DEBTOR,Create and retrieve a tenant-isolated debtor,J0,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#DEBTOR | project/apps/api/src/modules/debtor/debtor.controller.ts | project/apps/api/src/modules/debtor/debtor.service.ts | project/apps/api/src/modules/debtor/debtor.module.ts
W2-DEBTOR-01,DEBTOR,Create and retrieve a tenant-isolated debtor,J1,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#DEBTOR | project/apps/api/src/modules/debtor/debtor.controller.ts | project/apps/api/src/modules/debtor/debtor.service.ts | project/apps/api/src/modules/debtor/debtor.module.ts
W2-DEBTOR-01,DEBTOR,Create and retrieve a tenant-isolated debtor,J2,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#DEBTOR | project/apps/api/src/modules/debtor/debtor.controller.ts | project/apps/api/src/modules/debtor/debtor.service.ts | project/apps/api/src/modules/debtor/debtor.module.ts
W2-DEBTOR-01,DEBTOR,Create and retrieve a tenant-isolated debtor,J3,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#DEBTOR | project/apps/api/src/modules/debtor/debtor.controller.ts | project/apps/api/src/modules/debtor/debtor.service.ts | project/apps/api/src/modules/debtor/debtor.module.ts
W2-DEBTOR-01,DEBTOR,Create and retrieve a tenant-isolated debtor,J4,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#DEBTOR | project/apps/api/src/modules/debtor/debtor.controller.ts | project/apps/api/src/modules/debtor/debtor.service.ts | project/apps/api/src/modules/debtor/debtor.module.ts
W2-DEBTOR-01,DEBTOR,Create and retrieve a tenant-isolated debtor,J5,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#DEBTOR | project/apps/api/src/modules/debtor/debtor.controller.ts | project/apps/api/src/modules/debtor/debtor.service.ts | project/apps/api/src/modules/debtor/debtor.module.ts
W2-DEBTOR-01,DEBTOR,Create and retrieve a tenant-isolated debtor,J6,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#DEBTOR | project/apps/api/src/modules/debtor/debtor.controller.ts | project/apps/api/src/modules/debtor/debtor.service.ts | project/apps/api/src/modules/debtor/debtor.module.ts
W2-DEBTOR-01,DEBTOR,Create and retrieve a tenant-isolated debtor,J7,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#DEBTOR | project/apps/api/src/modules/debtor/debtor.controller.ts | project/apps/api/src/modules/debtor/debtor.service.ts | project/apps/api/src/modules/debtor/debtor.module.ts
W2-RECEIVABLE-01,RECEIVABLE,Read active claim items while human formation remains fail-closed,J0,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#RECEIVABLE | project/apps/api/src/modules/claim-item/claim-item.controller.ts | project/apps/api/src/modules/claim-item/claim-item.service.ts | project/apps/api/src/modules/claim-item/claim-item.module.ts
W2-RECEIVABLE-01,RECEIVABLE,Read active claim items while human formation remains fail-closed,J1,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#RECEIVABLE | project/apps/api/src/modules/claim-item/claim-item.controller.ts | project/apps/api/src/modules/claim-item/claim-item.service.ts | project/apps/api/src/modules/claim-item/claim-item.module.ts
W2-RECEIVABLE-01,RECEIVABLE,Read active claim items while human formation remains fail-closed,J2,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#RECEIVABLE | project/apps/api/src/modules/claim-item/claim-item.controller.ts | project/apps/api/src/modules/claim-item/claim-item.service.ts | project/apps/api/src/modules/claim-item/claim-item.module.ts
W2-RECEIVABLE-01,RECEIVABLE,Read active claim items while human formation remains fail-closed,J3,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#RECEIVABLE | project/apps/api/src/modules/claim-item/claim-item.controller.ts | project/apps/api/src/modules/claim-item/claim-item.service.ts | project/apps/api/src/modules/claim-item/claim-item.module.ts
W2-RECEIVABLE-01,RECEIVABLE,Read active claim items while human formation remains fail-closed,J4,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#RECEIVABLE | project/apps/api/src/modules/claim-item/claim-item.controller.ts | project/apps/api/src/modules/claim-item/claim-item.service.ts | project/apps/api/src/modules/claim-item/claim-item.module.ts
W2-RECEIVABLE-01,RECEIVABLE,Read active claim items while human formation remains fail-closed,J5,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#RECEIVABLE | project/apps/api/src/modules/claim-item/claim-item.controller.ts | project/apps/api/src/modules/claim-item/claim-item.service.ts | project/apps/api/src/modules/claim-item/claim-item.module.ts
W2-RECEIVABLE-01,RECEIVABLE,Read active claim items while human formation remains fail-closed,J6,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#RECEIVABLE | project/apps/api/src/modules/claim-item/claim-item.controller.ts | project/apps/api/src/modules/claim-item/claim-item.service.ts | project/apps/api/src/modules/claim-item/claim-item.module.ts
W2-RECEIVABLE-01,RECEIVABLE,Read active claim items while human formation remains fail-closed,J7,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#RECEIVABLE | project/apps/api/src/modules/claim-item/claim-item.controller.ts | project/apps/api/src/modules/claim-item/claim-item.service.ts | project/apps/api/src/modules/claim-item/claim-item.module.ts
W2-COLLECTION-01,COLLECTION,Record and independently verify a tenant-scoped collection receipt,J0,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#COLLECTION | project/apps/api/src/modules/collection/collection.controller.ts | project/apps/api/src/modules/collection/collection.service.ts | project/apps/api/src/modules/collection/collection.module.ts
W2-COLLECTION-01,COLLECTION,Record and independently verify a tenant-scoped collection receipt,J1,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#COLLECTION | project/apps/api/src/modules/collection/collection.controller.ts | project/apps/api/src/modules/collection/collection.service.ts | project/apps/api/src/modules/collection/collection.module.ts
W2-COLLECTION-01,COLLECTION,Record and independently verify a tenant-scoped collection receipt,J2,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#COLLECTION | project/apps/api/src/modules/collection/collection.controller.ts | project/apps/api/src/modules/collection/collection.service.ts | project/apps/api/src/modules/collection/collection.module.ts
W2-COLLECTION-01,COLLECTION,Record and independently verify a tenant-scoped collection receipt,J3,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#COLLECTION | project/apps/api/src/modules/collection/collection.controller.ts | project/apps/api/src/modules/collection/collection.service.ts | project/apps/api/src/modules/collection/collection.module.ts
W2-COLLECTION-01,COLLECTION,Record and independently verify a tenant-scoped collection receipt,J4,PASS,project/apps/api/src/modules/auth/__tests__/core-user-journeys-runtime-certification.db-gated.integration.spec.ts#COLLECTION | project/apps/api/src/modules/collection/collection.controller.ts | project/apps/api/src/modules/collection/collection.service.ts | project/apps/api/src/modules/collection/collection.module.ts
